file,cpn,width,height,area,max_dim,min_dim,n_pages,scale_p1,scale_p2,scale_p3
RAD4-24.00X36.00-CH04-D1-27K-SALES-AID-A.1.pdf,RAD4-24.00X36.00-CH04-D1-27K,24.0,36.0,864.0,36.0,24.0,2,10,8,
RAD4-24.00X36.00-CH04-D1-30K-SALES-AID-A.1.PDF,RAD4-24.00X36.00-CH04-D1-30K,24.0,36.0,864.0,36.0,24.0,2,12,10,
RAD4-24.00X36.00-CH04-D1-DF-30K-SALES-AID-A.1.PDF,RAD4-24.00X36.00-CH04-D1-DF-30K,24.0,36.0,864.0,36.0,24.0,2,10,10,
RAD4-24.00X36.00-CH04-DF-30K-SALES-AID-A.1.PDF,RAD4-24.00X36.00-CH04-DF-30K,24.0,36.0,864.0,36.0,24.0,2,10,10,
RAD4-24.00X36.00-NK04-30K-SALES-AID-A.1.PDF,RAD4-24.00X36.00-NK04-30K,24.0,36.0,864.0,36.0,24.0,2,10,8,
RAD4-24.00X36.00-NK04-WG3-30K-SALES-AID-A.1.PDF,RAD4-24.00X36.00-NK04-WG3-30K,24.0,36.0,864.0,36.0,24.0,2,10,10,
RAD4-24.00X40.00-BR02-D2-30K-SALES-AID-A.1.PDF,RAD4-24.00X40.00-BR02-D2-30K,24.0,40.0,960.0,40.0,24.0,2,10,10,
RAD4-24.00X44.00-CH04-30K-SALES-AID-A.1.PDF,RAD4-24.00X44.00-CH04-30K,24.0,44.0,1056.0,44.0,24.0,2,10,10,
RAD4-24.00X45.00-BK05-SO-30K-SALES-AID-A.1.PDF,RAD4-24.00X45.00-BK05-SO-30K,24.0,45.0,1080.0,45.0,24.0,2,10,10,
RAD4-24.00X45.00-CH04-D2-30K-SALES-AID-A.1.pdf,RAD4-24.00X45.00-CH04-D2-30K,24.0,45.0,1080.0,45.0,24.0,2,10,10,
RAD4-24.00X45.00-NK04-WG3-30K-SALES-AID-A.1.PDF,RAD4-24.00X45.00-NK04-WG3-30K,24.0,45.0,1080.0,45.0,24.0,2,10,10,
RAD4-24.00X48.00-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-24.00X48.00-BK05-D2-30K,24.0,48.0,1152.0,48.0,24.0,2,12,12,
RAD4-24.00X48.00-BR02-D2-30K-SALES-AID-A.1.PDF,RAD4-24.00X48.00-BR02-D2-30K,24.0,48.0,1152.0,48.0,24.0,2,12,12,
RAD4-24.00X48.00-CH04-30K-SALES-AID-A.1.PDF,RAD4-24.00X48.00-CH04-30K,24.0,48.0,1152.0,48.0,24.0,2,10,10,
RAD4-24.00X48.00-CH04-D2-27K-SALES-AID-A.1.PDF,RAD4-24.00X48.00-CH04-D2-27K,24.0,48.0,1152.0,48.0,24.0,2,12,12,
RAD4-24.00X48.00-CH04-DF-30K-SALES-AID-A.1.PDF,RAD4-24.00X48.00-CH04-DF-30K,24.0,48.0,1152.0,48.0,24.0,2,10,10,
RAD4-24.00X50.50-BK05-30K-SALES-AID-A.1.pdf,RAD4-24.00X50.50-BK05-30K,24.0,50.5,1212.0,50.5,24.0,2,10,10,
