file,cpn,revision,cpn_model,cpn_custom_prefix,cpn_size,cpn_finish_code,cpn_finish_name,cpn_cct_code,cpn_cct_K,cpn_is_custom,cpn_is_frx,cpn_options,cpn_option_meanings,frame_finish,total_wattage_W,voltage_V,current_A,led_type,led_length_in,led_wattage_W,l70_lifespan_hrs,cct_K,lumens_total,lumens_per_ft,cri,weight_lbs,has_defogger,defogger_voltage,defogger_wattage,has_clock,clock_watts,has_keen,has_277v,has_dimmer_kd,powerbox,mirror_assembly,powerbox_assembly,cpn_in_pdf,cpn_from_filename
RAD4-54.00X42.00-BK05-DF-30K-SALES-AID-A.1.pdf,RAD4-54.00X42.00-BK05-DF-30K,A.1,RAD4,,54.00X42.00,BK05,MATTE BLACK,30K,3000K,False,False,DF,Defogger (DF),MATTE BLACK,,120 OR 277,0.83 OR 0.36,REPLACEABLE FLEX STRIP,189,58,"140,000","3,000",4753,302,90+,66,True,,,False,,False,True,False,,,,RAD4-54.00X42.00-BK05-DF-30K,RAD4-54.00X42.00-BK05-DF-30K
RAD4-54.00X45.00-BK05-D2-30K-SALES-AID-A.1.pdf,RAD4-54.00X45.00-BK05-D2-30K,A.1,RAD4,,54.00X45.00,BK05,MATTE BLACK,30K,3000K,False,False,D2,Defogger D2,MATTE BLACK,,120,0.52,REPLACEABLE FLEX STRIP,195,60,"140,000","3,000",4904,302,90+,69,False,,,False,,False,False,False,,,,RAD4-54.00X45.00-BK05-D2-30K,RAD4-54.00X45.00-BK05-D2-30K
RAD4-55.00X47.00-BR02-D2-30K-SALES-AID-A.1.PDF,RAD4-55.00X47.00-BR02-D2-30K,A.1,RAD4,,55.00X47.00,BR02,BRUSHED BRASS,30K,3000K,False,False,D2,Defogger D2,BRUSHED BRASS,,120 - 277,0.48 - 0.21,REPLACEABLE FLEX STRIP,201,62,"140,000","3,000",5055,302,90+,74,False,,,False,,False,True,False,81330-D2-96W,,,RAD4-55.00X47.00-BR02-D2-30K,RAD4-55.00X47.00-BR02-D2-30K
RAD4-55.75X48.00-CH04-KG-30K-SALES-AID-A.1.PDF,RAD4-55.75X48.00-CH04-KG-30K,A.1,RAD4,,55.75X48.00,CH04,CHROME,30K,3000K,False,False,KG,Keen 1-Touch (KG),ETCHED CHROME,,120 OR 277,0.45 OR 0.19,REPLACEABLE FLEX STRIP,205,64,"140,000","3,000",5156,302,90+,75,False,,,False,,True,True,False,81330-K-96W,,,RAD4-55.75X48.00-CH04-KG-30K,RAD4-55.75X48.00-CH04-KG-30K
RAD4-56.00X36.00-BK05-D1-DF-30K-SALES-AID-A.1.PDF,RAD4-56.00X36.00-BK05-D1-DF-30K,A.1,RAD4,,56.00X36.00,BK05,MATTE BLACK,30K,3000K,False,False,D1;DF,Defogger D1;Defogger (DF),MATTE BLACK,,120,0.83,REPLACEABLE FLEX STRIP,182,56,"140,000","3,000",4577,302,90+,60,True,,,False,,False,False,False,81330-D1-DF-96W,,,RAD4-56.00X36.00-BK05-D1-DF-30K,RAD4-56.00X36.00-BK05-D1-DF-30K
RAD4-56.88X58.06-CH04-30K-SALES-AID-A.1.PDF,RAD4-56.88X58.06-CH04-30K,A.1,RAD4,,56.88X58.06,CH04,CHROME,30K,3000K,False,False,,,ETCHED CHROME,,120 OR 277,0.49 OR 0.21,REPLACEABLE FLEX STRIP,229,70,"140,000","3,000","5,759",302,90+,90,False,,,False,,False,True,False,81330-96W,,,RAD4-56.88X58.06-CH04-30K,RAD4-56.88X58.06-CH04-30K
RAD4-56.88X58.06-CH04-D2-30K-SALES-AID-A.1.PDF,RAD4-56.88X58.06-CH04-D2-30K,A.1,RAD4,,56.88X58.06,CH04,CHROME,30K,3000K,False,False,D2,Defogger D2,ETCHED CHROME,,120 OR 277,0.49 OR 0.21,REPLACEABLE FLEX STRIP,229,70,"140,000","3,000","5,759",302,90+,90,False,,,False,,False,True,False,81330-96W-D2,,,RAD4-56.88X58.06-CH04-D2-30K,RAD4-56.88X58.06-CH04-D2-30K
RAD4-57.00X20.00-BK05-KG-30K-SALES-AID-A.1.pdf,RAD4-57.00X20.00-BK05-KG-30K,A.1,RAD4,,57.00X20.00,BK05,MATTE BLACK,30K,3000K,False,False,KG,Keen 1-Touch (KG),MATTE BLACK,,120 OR 277,0.35 OR 0.15,REPLACEABLE FLEX STRIP,152,48,"140,000","3,000",3823,302,90+,40,False,,,False,,True,True,False,81330-K-96W,,,RAD4-57.00X20.00-BK05-KG-30K,RAD4-57.00X20.00-BK05-KG-30K
RAD4-58.00X50.00-BR02-D1-27K-SALES-AID-A.1.pdf,RAD4-58.00X50.00-BR02-D1-27K,A.1,RAD4,,58.00X50.00,BR02,BRUSHED BRASS,27K,2700K,False,False,D1,Defogger D1,BRUSHED BRASS,,120 - 277,0.46 - 0.20,REPLACEABLE FLEX STRIP,213,65,"140,000","2,700",5357,302,90+,81,False,,,False,,False,True,False,81330-D1-96W,,,RAD4-58.00X50.00-BR02-D1-27K,RAD4-58.00X50.00-BR02-D1-27K
RAD4-58.50X34.75-BK05-30K-SALES-AID-A.1.PDF,RAD4-58.50X34.75-BK05-30K,A.1,RAD4,,58.50X34.75,BK05,MATTE BLACK,30K,3000K,False,False,,,MATTE BLACK,,120 OR 277,0.40 OR 0.17,REPLACEABLE FLEX STRIP,184,56,"140,000",3000,4604,302,90+,60,False,,,False,,False,True,False,81330-96W,,,RAD4-58.50X34.75-BK05-30K,RAD4-58.50X34.75-BK05-30K
